drug	auc	p	s	group
paclitaxel	0.207727626423334	0.000495533541703955	***	High PPS
paclitaxel	0.177244461118162	0.000495533541703955	***	High PPS
paclitaxel	0.159963282357627	0.000495533541703955	***	High PPS
paclitaxel	0.156411345377616	0.000495533541703955	***	High PPS
paclitaxel	0.173740338555355	0.000495533541703955	***	High PPS
paclitaxel	0.242984230542603	0.000495533541703955	***	High PPS
paclitaxel	0.232395825597337	0.000495533541703955	***	High PPS
paclitaxel	0.220137745766755	0.000495533541703955	***	High PPS
paclitaxel	0.281468297423007	0.000495533541703955	***	High PPS
paclitaxel	0.211882995313572	0.000495533541703955	***	High PPS
paclitaxel	0.290765539518771	0.000495533541703955	***	High PPS
paclitaxel	0.193759648200953	0.000495533541703955	***	High PPS
paclitaxel	0.267837409514333	0.000495533541703955	***	Low PPS
paclitaxel	0.28276851944031	0.000495533541703955	***	Low PPS
paclitaxel	0.269257011904023	0.000495533541703955	***	Low PPS
paclitaxel	0.304741579404565	0.000495533541703955	***	Low PPS
paclitaxel	0.32723493888138	0.000495533541703955	***	Low PPS
paclitaxel	0.344149712652926	0.000495533541703955	***	Low PPS
paclitaxel	0.323679020167692	0.000495533541703955	***	Low PPS
paclitaxel	0.236972239612158	0.000495533541703955	***	Low PPS
paclitaxel	0.30089157907891	0.000495533541703955	***	Low PPS
paclitaxel	0.24275158351519	0.000495533541703955	***	Low PPS
paclitaxel	0.252064142445848	0.000495533541703955	***	Low PPS
paclitaxel	0.265353388945871	0.000495533541703955	***	Low PPS
BI-2536	0.198371263751271	0.000274392453689802	***	High PPS
BI-2536	0.202538667088423	0.000274392453689802	***	High PPS
BI-2536	0.189552700361002	0.000274392453689802	***	High PPS
BI-2536	0.157422009775793	0.000274392453689802	***	High PPS
BI-2536	0.195373086411168	0.000274392453689802	***	High PPS
BI-2536	0.272616809702345	0.000274392453689802	***	High PPS
BI-2536	0.224112323247723	0.000274392453689802	***	High PPS
BI-2536	0.227057329211682	0.000274392453689802	***	High PPS
BI-2536	0.241434063661266	0.000274392453689802	***	High PPS
BI-2536	0.205097351316112	0.000274392453689802	***	High PPS
BI-2536	0.29400682546665	0.000274392453689802	***	High PPS
BI-2536	0.257741394901241	0.000274392453689802	***	High PPS
BI-2536	0.30224290653887	0.000274392453689802	***	Low PPS
BI-2536	0.283940787134385	0.000274392453689802	***	Low PPS
BI-2536	0.265323727263969	0.000274392453689802	***	Low PPS
BI-2536	0.302616642930153	0.000274392453689802	***	Low PPS
BI-2536	0.306090077845945	0.000274392453689802	***	Low PPS
BI-2536	0.310487163814196	0.000274392453689802	***	Low PPS
BI-2536	0.287334171952597	0.000274392453689802	***	Low PPS
BI-2536	0.236446592269197	0.000274392453689802	***	Low PPS
BI-2536	0.278826915094436	0.000274392453689802	***	Low PPS
BI-2536	0.272809096108554	0.000274392453689802	***	Low PPS
BI-2536	0.273753451851392	0.000274392453689802	***	Low PPS
BI-2536	0.267442798589067	0.000274392453689802	***	Low PPS
gemcitabine	0.299379822803884	0.00143260965713517	**	High PPS
gemcitabine	0.254121852614532	0.00143260965713517	**	High PPS
gemcitabine	0.294655242629465	0.00143260965713517	**	High PPS
gemcitabine	0.25749361510023	0.00143260965713517	**	High PPS
gemcitabine	0.287154388596112	0.00143260965713517	**	High PPS
gemcitabine	0.329824959544932	0.00143260965713517	**	High PPS
gemcitabine	0.296455096625465	0.00143260965713517	**	High PPS
gemcitabine	0.302190813520117	0.00143260965713517	**	High PPS
gemcitabine	0.34817623934375	0.00143260965713517	**	High PPS
gemcitabine	0.314089296885548	0.00143260965713517	**	High PPS
gemcitabine	0.375124323041801	0.00143260965713517	**	High PPS
gemcitabine	0.283162453346493	0.00143260965713517	**	High PPS
gemcitabine	0.341391979222514	0.00143260965713517	**	Low PPS
gemcitabine	0.326253400982343	0.00143260965713517	**	Low PPS
gemcitabine	0.336597258287618	0.00143260965713517	**	Low PPS
gemcitabine	0.357999447112544	0.00143260965713517	**	Low PPS
gemcitabine	0.364059936014357	0.00143260965713517	**	Low PPS
gemcitabine	0.387311193996262	0.00143260965713517	**	Low PPS
gemcitabine	0.392984987782877	0.00143260965713517	**	Low PPS
gemcitabine	0.326206049793115	0.00143260965713517	**	Low PPS
gemcitabine	0.371591571971185	0.00143260965713517	**	Low PPS
gemcitabine	0.331350802787252	0.00143260965713517	**	Low PPS
gemcitabine	0.319910118231603	0.00143260965713517	**	Low PPS
gemcitabine	0.352758692348125	0.00143260965713517	**	Low PPS
leptomycin B	0.084902211259659	0.00231643440689073	**	High PPS
leptomycin B	0.0628815348977558	0.00231643440689073	**	High PPS
leptomycin B	0.0686714576268084	0.00231643440689073	**	High PPS
leptomycin B	0.07467265211112	0.00231643440689073	**	High PPS
leptomycin B	0.099548361266151	0.00231643440689073	**	High PPS
leptomycin B	0.111013674260465	0.00231643440689073	**	High PPS
leptomycin B	0.112612806575963	0.00231643440689073	**	High PPS
leptomycin B	0.128426619801182	0.00231643440689073	**	High PPS
leptomycin B	0.253929191711945	0.00231643440689073	**	High PPS
