!Sample_title	!Sample_geo_accession	!Sample_characteristics_ch1
T107	GSM1523727	patient: 107
T108	GSM1523728	patient: 108
T109	GSM1523729	patient: 109
N132	GSM1523730	patient: 132
N133	GSM1523731	patient: 133
N134	GSM1523732	patient: 134
N135	GSM1523733	patient: 135
N136	GSM1523734	patient: 136
N138	GSM1523735	patient: 138
N140	GSM1523736	patient: 140
N141	GSM1523737	patient: 141
N142	GSM1523738	patient: 142
N144	GSM1523739	patient: 144
N146	GSM1523740	patient: 146
N150	GSM1523741	patient: 150
N151	GSM1523742	patient: 151
N157	GSM1523743	patient: 157
T160	GSM1523744	patient: 160
T164	GSM1523745	patient: 164
T165	GSM1523746	patient: 165
T168	GSM1523747	patient: 168
T169	GSM1523748	patient: 169
N172	GSM1523749	patient: 172
N175	GSM1523750	patient: 175
N180	GSM1523751	patient: 180
N185	GSM1523752	patient: 185
N187	GSM1523753	patient: 187
N188	GSM1523754	patient: 188
N189	GSM1523755	patient: 189
N192	GSM1523756	patient: 192
N193	GSM1523757	patient: 193
N197	GSM1523758	patient: 197
N201	GSM1523759	patient: 201
N202	GSM1523760	patient: 202
N205	GSM1523761	patient: 205
N213	GSM1523762	patient: 213
N227	GSM1523763	patient: 227
N228	GSM1523764	patient: 228
T235	GSM1523765	patient: 235
N236	GSM1523766	patient: 236
N238	GSM1523767	patient: 238
T244	GSM1523768	patient: 244
T253	GSM1523769	patient: 253
T255	GSM1523770	patient: 255
T256	GSM1523771	patient: 256
T263	GSM1523772	patient: 263
T268	GSM1523773	patient: 268
T269	GSM1523774	patient: 269
T270	GSM1523775	patient: 270
T275	GSM1523776	patient: 275
T321	GSM1523777	patient: 321
T322	GSM1523778	patient: 322
T323	GSM1523779	patient: 323
T324	GSM1523780	patient: 324
T325	GSM1523781	patient: 325
T326	GSM1523782	patient: 326
T327	GSM1523783	patient: 327
T328	GSM1523784	patient: 328
T329	GSM1523785	patient: 329
T330	GSM1523786	patient: 330
T331	GSM1523787	patient: 331
T333	GSM1523788	patient: 333
T336	GSM1523789	patient: 336
T337	GSM1523790	patient: 337
T338	GSM1523791	patient: 338
T339	GSM1523792	patient: 339
T341	GSM1523793	patient: 341
T343	GSM1523794	patient: 343
T346	GSM1523795	patient: 346
T355	GSM1523796	patient: 355
T361	GSM1523797	patient: 361
T363	GSM1523798	patient: 363
T369	GSM1523799	patient: 369
T372	GSM1523800	patient: 372
T374	GSM1523801	patient: 374
T375	GSM1523802	patient: 375
T376	GSM1523803	patient: 376
T377	GSM1523804	patient: 377
T385	GSM1523805	patient: 385
T388	GSM1523806	patient: 388
T394	GSM1523807	patient: 394
T395	GSM1523808	patient: 395
T396	GSM1523809	patient: 396
T397	GSM1523810	patient: 397
T399	GSM1523811	patient: 399
T401	GSM1523812	patient: 401
T402	GSM1523813	patient: 402
T405	GSM1523814	patient: 405
T413	GSM1523815	patient: 413
T414	GSM1523816	patient: 414
T415	GSM1523817	patient: 415
T416	GSM1523818	patient: 416
T419	GSM1523819	patient: 419
T420	GSM1523820	patient: 420
T421	GSM1523821	patient: 421
T422	GSM1523822	patient: 422
T423	GSM1523823	patient: 423
T424	GSM1523824	patient: 424
T425	GSM1523825	patient: 425
T426	GSM1523826	patient: 426
T427	GSM1523827	patient: 427
T428	GSM1523828	patient: 428
T430	GSM1523829	patient: 430
T431	GSM1523830	patient: 431
T432	GSM1523831	patient: 432
T433	GSM1523832	patient: 433
T437	GSM1523833	patient: 437
T438	GSM1523834	patient: 438
T440	GSM1523835	patient: 440
T441	GSM1523836	patient: 441
T442	GSM1523837	patient: 442
